listing_id,neighborhood,building_type,condition,energy_rating,area_sqm,balcony_area_sqm,lot_size_sqm,bedrooms,bathrooms,living_rooms,floor,has_elevator,has_parking,has_ac,has_sea_view,distance_metro_km,distance_park_km,distance_center_km,noise_level_db,air_quality_index,monthly_hoa_fee,age_years,listing_year,description_length,rooms_total,price
10651,Atasehir,apartment,excellent,B,99.6,,0.0,1,2,2,11,0,0,0,1,1.09,0.59,1.54,,,,54,2024,277,3,201040
2042,Sisli,duplex,fair,C,96.9,0.0,27.6,6,4,1,20,0,1,1,1,2.62,1.83,0.69,60.1,90.0,233.0,22,2024,316,7,267167
8669,Umraniye,apartment,good,B,106.5,17.1,0.0,4,2,2,7,1,0,1,0,2.29,1.55,4.61,46.2,66.0,74.0,5,2023,238,6,144849
1115,Bakirkoy,duplex,good,B,108.9,2.7,142.2,6,1,1,4,1,1,0,1,2.15,0.82,0.66,,94.0,153.0,46,2024,252,7,244100
13903,Besiktas,apartment,excellent,B,143.3,2.1,,3,1,2,19,1,1,1,1,1.33,1.71,2.44,53.2,128.0,334.0,48,2024,113,5,468020
11964,Sisli,residence,excellent,C,288.1,5.8,0.0,6,3,2,5,0,1,1,1,1.76,0.26,1.32,60.9,109.0,,28,2024,255,8,931228
11073,Bakirkoy,apartment,good,C,100.2,,0.0,1,2,1,13,0,1,1,0,1.41,0.86,8.48,50.0,90.0,266.0,56,2025,261,2,143856
3003,Bakirkoy,duplex,fair,B,102.9,3.9,,2,1,1,1,1,1,0,0,0.62,1.94,2.49,50.7,106.0,186.0,16,2025,355,3,255207
19772,Uskudar,apartment,good,B,113.1,21.5,,1,4,1,0,0,0,0,1,1.66,0.72,2.57,67.7,78.0,430.0,58,2024,159,2,160138
8116,Kartal,apartment,poor,C,122.4,,0.0,1,1,1,2,1,0,0,0,1.85,0.59,8.21,55.0,72.0,209.0,2,2023,183,3,115760
3526,Kartal,residence,excellent,C,202.5,,,4,1,2,18,1,0,0,0,0.92,2.27,3.64,53.7,88.0,198.0,14,2025,227,6,648283
7880,Atasehir,residence,fair,B,232.0,10.7,,5,4,2,6,1,0,0,1,1.38,0.23,1.65,,67.0,264.0,46,2024,196,7,510693
16442,Atasehir,apartment,fair,B,117.2,,0.0,4,4,1,13,0,1,1,1,0.61,1.42,3.59,52.4,70.0,169.0,12,2025,295,5,225069
16297,Uskudar,apartment,good,C,201.6,8.7,0.0,6,2,1,5,1,1,1,0,1.61,0.8,9.25,51.6,76.0,,38,2024,76,7,288452
