listing_id,neighborhood,building_type,condition,energy_rating,area_sqm,balcony_area_sqm,lot_size_sqm,bedrooms,bathrooms,living_rooms,floor,has_elevator,has_parking,has_ac,has_sea_view,distance_metro_km,distance_park_km,distance_center_km,noise_level_db,air_quality_index,monthly_hoa_fee,age_years,listing_year,description_length,rooms_total,price
16529,Uskudar,apartment,fair,A,173.9,,,3,1,1,10,1,1,0,0,2.67,0.59,1.85,55.7,70.0,605.0,38,2025,283,4,229830
5187,Besiktas,duplex,poor,D,141.2,8.3,0.0,1,4,2,9,1,0,0,1,2.21,0.1,6.31,69.2,80.0,207.0,7,2025,201,3,432643
3488,Sariyer,detached,poor,A,203.7,10.3,0.0,3,1,1,8,1,1,0,1,1.35,0.31,2.69,68.9,87.0,299.0,59,2025,374,4,545457
5046,Besiktas,apartment,fair,C,193.1,6.1,0.0,6,3,1,22,0,0,1,0,0.32,0.73,2.32,51.3,106.0,,53,2024,90,7,416827
9166,Uskudar,apartment,good,A,150.1,8.1,,6,1,1,19,0,0,0,0,0.52,0.71,0.5,36.2,87.0,12.0,29,2025,205,8,228443
6779,Fatih,detached,fair,A,199.8,,285.2,4,3,2,17,1,1,0,1,0.74,1.55,6.88,63.6,58.0,15.0,24,2023,463,6,509043
2860,Sisli,apartment,poor,A,196.5,,0.0,6,1,1,14,0,1,1,0,0.71,0.62,2.14,67.0,75.0,231.0,44,2024,161,6,300274
15206,Besiktas,apartment,good,C,114.6,4.8,0.0,5,3,1,11,1,1,1,1,0.99,0.66,7.22,60.6,57.0,202.0,42,2024,304,6,788932
8766,Atasehir,apartment,good,C,257.3,8.7,0.0,3,2,1,16,1,1,1,0,0.3,1.64,2.32,48.9,95.0,300.0,43,2025,10,4,469422
10303,Atasehir,apartment,fair,D,177.8,5.2,,4,3,1,13,0,1,0,1,0.54,1.68,0.85,37.1,84.0,199.0,4,2025,297,5,506036
5202,Fatih,duplex,excellent,C,182.6,,,4,4,1,3,0,0,1,0,1.51,1.98,0.5,65.5,63.0,176.0,36,2023,150,5,275685
1693,Fatih,residence,poor,A,87.8,7.3,,5,3,2,22,0,0,0,1,0.65,1.74,2.76,61.3,78.0,373.0,44,2025,286,7,163256
5100,Atasehir,duplex,fair,B,127.6,8.6,3.0,3,3,2,20,0,0,1,1,1.05,0.95,4.16,41.3,95.0,,6,2024,354,4,335983
10716,Atasehir,apartment,good,C,177.5,9.0,,5,2,1,3,0,0,1,1,0.63,2.31,3.43,55.7,70.0,27.0,16,2024,265,6,345448
7490,Sariyer,apartment,fair,C,135.0,7.2,,5,1,1,2,1,0,0,1,0.2,1.04,6.62,56.9,83.0,41.0,23,2023,122,6,322862
12442,Umraniye,detached,poor,C,159.1,11.1,,5,4,2,6,0,0,1,0,0.26,1.51,2.59,58.2,46.0,511.0,56,2024,169,7,169458
13380,Kartal,residence,poor,A,76.5,11.2,0.0,5,3,1,2,1,0,1,1,0.74,2.07,7.25,59.7,74.0,372.0,16,2024,269,6,138699
19403,Kartal,apartment,fair,B,149.3,8.5,0.0,2,4,1,5,0,0,1,0,1.48,1.5,0.8,49.0,61.0,66.0,14,2023,271,3,183797
15303,Uskudar,residence,fair,,108.6,10.8,0.0,6,1,1,19,0,1,0,1,,2.55,1.23,59.5,25.0,169.0,16,2025,119,7,272045
8298,Bakirkoy,duplex,good,A,102.4,15.4,0.0,5,4,2,10,0,1,1,1,3.41,1.6,1.01,49.8,77.0,67.0,16,2025,266,7,265862
6600,Fatih,detached,fair,,129.1,7.0,392.4,6,4,2,16,0,0,0,1,1.69,1.41,0.5,65.1,104.0,313.0,1,2024,98,8,428596
1022,Uskudar,residence,fair,A,189.0,3.7,,3,4,1,20,0,1,0,0,1.32,4.87,0.8,50.1,57.0,112.0,20,2024,323,4,358242
9928,Umraniye,apartment,fair,C,88.3,,,2,1,2,21,0,0,1,1,0.44,1.65,3.32,50.3,112.0,,11,2024,319,4,111814
12062,Beyoglu,duplex,fair,A,177.1,6.2,24.8,4,1,2,5,0,1,1,0,,1.95,1.96,60.3,87.0,81.0,12,2023,10,6,364323
5115,Bakirkoy,apartment,good,B,152.5,16.2,,1,3,2,24,0,0,1,0,1.48,1.49,6.03,,100.0,201.0,0,2023,447,3,333395
15068,Atasehir,detached,excellent,B,122.3,,22.7,2,2,1,23,1,0,1,1,0.29,1.51,8.53,77.7,104.0,279.0,52,2024,319,3,263533
14289,Sisli,apartment,good,C,213.2,4.5,0.0,1,4,1,8,0,0,1,0,4.1,4.08,7.89,,69.0,,9,2023,275,2,422035
13624,Kartal,residence,excellent,A,131.9,9.6,,5,3,2,22,1,0,1,1,1.08,0.37,0.66,,,,33,2025,173,7,242357
19150,Umraniye,apartment,excellent,C,139.7,1.5,0.0,6,3,1,14,0,1,1,0,1.76,3.33,2.24,48.5,95.0,141.0,52,2024,227,7,177931
11357,Umraniye,apartment,good,A,115.7,,,4,4,1,14,0,0,1,0,1.15,1.45,9.67,57.3,79.0,300.0,12,2025,267,5,143175
829,Beyoglu,duplex,fair,C,115.3,,,5,2,2,18,0,0,1,1,0.8,0.1,2.45,41.9,77.0,194.0,54,2025,199,7,260353
17827,Fatih,apartment,good,B,163.9,,,4,2,2,11,0,0,0,1,5.52,2.48,3.21,58.7,,317.0,47,2025,194,7,209577
2138,Uskudar,apartment,good,C,102.2,7.9,0.0,3,3,1,4,0,0,1,1,1.13,1.31,0.78,47.2,86.0,253.0,29,2025,89,4,199692
8620,Kadikoy,residence,fair,A,214.2,11.0,0.0,3,3,2,17,1,0,1,0,0.36,3.3,6.96,53.1,70.0,206.0,15,2023,96,5,460121
12872,Kadikoy,detached,fair,B,112.2,0.0,,3,4,1,12,0,0,1,1,1.77,4.77,3.43,46.7,66.0,80.0,11,2024,39,4,352253
2135,Bakirkoy,residence,good,A,99.0,,,4,4,1,24,1,1,0,0,1.93,0.54,2.37,66.5,108.0,68.0,35,2024,173,5,209964
13799,Umraniye,detached,excellent,C,146.1,4.8,,4,4,1,22,1,0,0,1,0.25,0.79,4.71,64.7,59.0,102.0,10,2025,193,5,392538
19095,Bakirkoy,residence,poor,,168.5,6.1,0.0,5,4,1,13,0,1,1,0,1.39,2.06,0.8,61.0,,205.0,37,2023,246,6,309090
13835,Kartal,apartment,good,B,127.5,,,1,2,1,20,1,1,0,1,1.32,,2.88,,68.0,273.0,8,2024,248,2,227301
19787,Sariyer,apartment,fair,A,120.0,6.4,0.0,1,4,2,15,1,1,1,1,,0.69,6.53,58.0,,222.0,32,2023,191,3,382765
13017,Kadikoy,duplex,fair,A,63.5,,,6,1,1,21,1,1,0,1,1.86,3.42,6.18,54.6,57.0,113.0,25,2023,196,7,168008
1477,Sisli,detached,poor,A,241.2,8.8,124.0,1,3,1,2,1,0,1,1,1.32,1.91,2.33,71.4,73.0,87.0,32,2024,323,2,539250
2726,Atasehir,loft,fair,C,98.5,,,4,2,1,11,1,0,0,0,2.74,0.58,7.16,64.5,59.0,,27,2025,348,5,141238
13697,Atasehir,apartment,fair,B,155.9,3.2,0.0,1,4,1,2,1,1,0,0,2.94,1.84,0.68,62.2,79.0,,8,2025,36,2,235101
10559,Kadikoy,apartment,fair,C,130.7,7.2,,5,2,1,4,0,1,0,1,1.62,3.7,2.98,50.7,67.0,291.0,30,2024,140,7,237529
1853,Bakirkoy,duplex,poor,D,167.6,5.5,,5,4,2,21,1,1,1,0,1.34,0.71,1.96,67.1,,13.0,9,2025,290,7,372903
2120,Atasehir,apartment,fair,A,310.9,,0.0,5,4,2,7,0,1,0,0,1.86,0.3,0.72,51.9,99.0,451.0,57,2025,160,7,359874
19442,Maltepe,apartment,fair,A,132.2,10.1,0.0,3,4,2,24,1,0,0,1,2.14,1.75,4.37,54.7,78.0,227.0,59,2024,303,5,170187
12989,Bakirkoy,apartment,fair,A,209.8,8.5,,4,2,2,19,0,1,0,1,1.14,0.76,2.16,63.1,91.0,,9,2025,215,6,408485
6125,Beyoglu,apartment,excellent,C,164.6,0.4,,2,3,1,9,0,0,1,0,1.52,0.59,0.5,57.6,52.0,170.0,16,2025,203,3,308857
8781,Beyoglu,apartment,fair,D,127.0,7.9,,4,4,1,5,0,0,0,0,3.11,0.15,3.9,47.7,92.0,316.0,10,2024,22,5,201503
19311,Uskudar,apartment,good,A,110.1,16.5,0.0,3,3,2,15,1,1,1,0,5.36,1.35,4.71,35.0,94.0,261.0,24,2024,142,6,209080
14594,Sisli,apartment,fair,B,196.5,5.9,0.0,1,2,1,23,0,0,1,1,0.32,0.97,3.32,55.9,127.0,76.0,31,2023,87,2,427282
18518,Besiktas,apartment,fair,D,263.4,2.4,0.0,4,1,1,15,1,1,0,1,4.21,,4.84,62.6,85.0,,3,2024,202,5,728767
7806,Atasehir,duplex,good,B,50.0,7.2,,5,4,1,8,0,1,1,1,1.58,1.04,1.3,50.5,,151.0,44,2025,205,6,118497
14956,Maltepe,apartment,excellent,C,194.8,2.2,0.0,5,1,1,12,1,0,1,1,,1.09,2.08,41.0,98.0,171.0,45,2024,271,6,349410
1288,Maltepe,apartment,good,C,66.0,,,6,2,2,6,0,0,1,1,0.23,0.43,1.08,,122.0,410.0,7,2025,98,8,161920
692,Bakirkoy,apartment,good,C,177.0,,,3,1,2,19,1,0,1,1,3.16,0.49,4.84,53.8,,203.0,11,2024,261,5,416464
11009,Uskudar,apartment,fair,C,246.3,0.0,,6,1,2,2,1,0,1,0,1.62,1.55,0.75,63.4,70.0,217.0,12,2024,289,8,378348
8228,Bakirkoy,apartment,fair,B,162.9,3.1,0.0,4,4,2,21,1,1,0,0,2.01,,4.15,60.4,70.0,118.0,37,2023,197,7,327912
18573,Beyoglu,detached,good,A,126.2,7.2,401.0,2,2,2,22,0,0,1,1,3.67,0.36,0.56,,101.0,299.0,18,2024,255,4,310827
11811,Sisli,residence,good,C,87.7,,0.0,4,3,2,13,0,0,0,1,2.06,3.14,3.97,52.9,97.0,253.0,24,2024,153,6,242724
13511,Fatih,residence,fair,C,114.4,9.1,0.0,6,2,2,13,0,1,0,0,0.76,0.25,1.2,62.3,79.0,205.0,24,2024,139,8,194356
12660,Fatih,apartment,poor,B,85.3,16.4,0.0,6,2,1,22,0,0,1,0,0.5,1.32,1.48,49.7,88.0,250.0,11,2024,234,7,133786
11381,Umraniye,residence,good,B,58.4,,,2,3,2,2,0,0,1,0,2.32,1.18,4.32,59.0,79.0,344.0,10,2024,162,4,67533
13180,Maltepe,apartment,good,B,150.2,10.5,,6,1,2,20,1,1,0,0,1.53,0.71,0.64,58.7,72.0,186.0,2,2024,291,8,268461
18385,Uskudar,duplex,poor,C,102.4,,173.4,3,1,1,3,0,0,1,1,0.57,1.28,5.03,48.2,80.0,348.0,25,2025,229,4,252854
1955,Fatih,residence,excellent,D,97.8,,0.0,6,4,1,18,1,1,1,1,2.32,,2.31,60.3,93.0,112.0,21,2024,64,7,261577
15726,Umraniye,residence,good,B,140.4,7.4,0.0,5,3,2,1,0,0,1,0,0.84,1.43,6.47,45.6,96.0,66.0,23,2024,120,8,171299
6533,Fatih,detached,good,C,79.2,,66.4,4,1,2,5,1,1,1,1,,1.32,5.11,61.8,73.0,96.0,61,2024,40,6,126510
